sentiment,content
happiness,i wish you could come to Swindon...2 hours away...its my dream to meet you xoxo
worry,Thunder &amp; lightning scarededededed me!
worry,boo! I must've deleted it from my phone! can't find it in my emails either!
neutral,my phone is broken &amp; im too lazy to go to the verizon store to get a new one.. oh well i guess no phone for awhile.. aha
worry,Looks nice.... never knew VHS had such a short life span... hope my fav VHS is not dead
worry,"you always appear on the, like, 10 minutes a week I'm not here"
neutral,that is why I drive a (teeny tiny) honda civic
love,Happy Mothers Day
love,I love all of their music.
love,changos el link no me sirve mta
worry,turning laptop of. i'm scared poor baby.
neutral,email those pics on ur labtop to me... I wana put one of them as my background!
love,it can only get better.
worry,watching Star Trek and next to watch it at the movie theater 'cause the movie is really worth it...
love,"it's you and me forever ?, it's you and me right now flywithmeobsessive. Im crying"
worry,is on air
enthusiasm,"New project, new mess"
fun,"dude, was that you in the new Star Trek Burger King commercial? Bud Light AND Burger King? So proud of u man."
fun,Nice one. Hahaha Thanks for last night &lt;3
happiness,good day
happiness,nice new profile picture! Glad to see some friends in there
happiness,"I like you. I mean as a random person, because I obviously don't know you. but. we think alike"
neutral,what am i doing? what can i do?
love,"Awesome sunday service God is for you, Jesus is praying for you - What can man do to you?!"
enthusiasm,Everyone is so sad about the no touching rule. You still get to see them! More than most of us get!
worry,don't hurt me :'[ I meant it in a good way :]
love,I miss you too. We'll have to get together once everything settles down in a few weeks. Congrats on the house!
happiness,Now that's what i like to hear! You won't unfollow us little people on Twitter when you make it big will u?
surprise,"A girl in my big hair rock today, black velvet baby ?"
worry,I don't have any
happiness,Just received my Leeds 10K bib and timing chip - but my hip injury means I won't be breaking any 10K PB this time around
worry,SEND ME THAT PHOTO MAN ily favourite
worry,"I was wondering about your sanity for a bit there, dear"
happiness,Happy Star Wars Day
relief,done with the dentist until November
love,oh chase. i love you. you make me laugh &amp; btw you were surely were dropped on the head as a baby.
sadness,no internet in my pocket edge network down in denver *sob*
sadness,saw a dead bird on my way to work!what a kind of day to start?! Poor little bird!
neutral,Photo: hannahisdead: omg i wanna read Pride and prejudice and zombies fuckyeah zombies
happiness,Today is check in day for week 12 of the Artist's Way! Hurray time to celebrate another good completed journey.
sadness,Sweet dreams!I'm tired I'm so excited I might actually get to golf in the morning! Family tradition!
neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
neutral,"I am mid-detox, I won't eat any"
worry,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what can I do w/h it? Too useless become."
anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm no fones allowed ffs!"
worry,Amen to that
worry,SMH PPL WHO ONLY TWIT U UP ON FRIDAYS B/C U GOT 100+ FOLLOWERS AND THEY'RE STILL BANKING 15-20 #NOFAKERY
love,?Happy Birthday to u? Happy Birthday to u? Happy Birthday to u? Happy Birthday to u? Happy Birthday to u? And many more!
hate,"It's Monday, and I am still cleaning up the mess from Thursday night's storm. Like I wasn't busy enough this week!"
sadness,Another day in jury duty.
worry,Getting anxious for Blink- 182's new album!
sadness,at work with a HUGE headache
worry,Giving up. Everyone and their cat is using Castle.DynamicProxy2. 3 out of 4 of my dependencies need each a different version of DynProxy2
worry,"yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting. Block 'em"
neutral,backe backe... MUFFINS!!!
surprise,wow! Leonardo DiCaprio and Jennifer Davisson Killoran are the producers of the movie: ORPHAN !! i have direct contact info for them too!
worry,"Ahhh, I slept through the game. I'm gonna try my best to watch tomorrow though. I hope we play Army."
neutral,"If all goes according to plan, you CSE RFID guinea pigs should have a bitchin FF extension to play with by the end of this week"
sadness,"Lunch time! Feeling really odd today, generally not great"
happiness,Thanks
hate,cuz airlines are super lame.
sadness,Why did sound input for my computer stop working? It's not the mic or jack (USB webcam mic doesn't work either) Checked input controls.
love,I just finished first season six feet under
happiness,"just came back from seeing the boat that rocked, it was an amazingly cool movie, definitely getting it on DVD once its out"
sadness,samee.. it sucks..
love,i want alexis bledel back on screen every thursday night
worry,the step show was fantabulous! (hi !) my sis's group won 2nd in their division and 2nd in the show overall! WHOO!
worry,I only do computers. Am hopeless at everything else
happiness,"so glad, I hope yall make it back down near New Orleans"
relief,Is it possible to pass out he your laying down? Bed soon if i can sleep &lt;3
anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
worry,That's the problem. DNS isn't working uTorrent and DestroyTwitter are working while everything else is down.
worry,AHHH! still not following!! Do you think she forgot??
neutral,Is anyone else having problems following and unfollowing peeps? For me this has gone on for over a week!
worry,"I believe the address is 300 Ottawa Ave. NW, Grand Rapids, MI (Calder Plaza), wish I could've seen you guys last night or today"
worry,girl i am buying &amp; posting your pressie tomorrow but i have no fucking clue what to get you so i'm sorry if you hate it
worry,dammit i had the passes but i am still at work
neutral,if you cant hide the tweetie icon why not change it
neutral,i am back
neutral,it's called: dedicated
neutral,"yeah. No vomiting tonight, bit sniffly but ok. bens trying to get him to sleep right now."
relief,just got back from school. SHEMMS!! Summer class has been officially ended.
hate,As predicted i feel lyk shit gahh i hate bein ill!! At wrk tweet lata xx
empty,I want a fake BLT....
fun,i noo i went to the zoo instead lol!! ru goin out 2night??? xx
surprise,recapping on britains got talent. britain seems more talented than america
surprise,awww. i wish i had a younger sis ): but i do have an older one!!! i bet your younger sis loves it JUST as much as u do!
worry,"Told Verizon not to send anyone before 11. He showed up at 10. Gotta deal with this bullshit now, dunno how long I'll be offline."
sadness,Stuck on the 710 ... Going to my 2nd job ... ... Why can't I find a good office job???
neutral,yeah quite a few kids in my school got swine flu. they only close down the school if its 30 kids or more
happiness,wanna see JB 3D Movie Experience again ... I wanna &quot;touch&quot; Joe again hehehe
worry,I can't find my ipod
worry,tummy hurts
happiness,Is having awesome fruits and vegetable juice at the opening of Lam's noodles at
love,finally some sleep in silence
worry,My bet on Mumbai Indians today... Anyone to take a bet on this for 500 bucks??
sadness,i fell asleep on the beach and didn't put on enough sunscreen lol
love,"That's so nice to hear i love you, you're my best friend and my sister *hug u*"
love,Please everyone to vote for me to become the next Maxim Coors Caddy girl...only takes a few minutes
neutral,beeeeaaaaatooooo!!!!!
happiness,It's soupy-soup time. Today: Heinz Cream of Chicken and Mushroom - yum! bbl
neutral,"I was going to visit my sister today, but she's grumpy. I'll just chill at home with the family and visit her tomorrow."
happiness,I figured that... But I ended up taking my cousin to work in the Rain anyway... But hit me up
sadness,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.
worry,"just when i thought things couldn't get any worse. it just did. and it will get even worse tonight, i bet. my life is a misery."
worry,i've just woken up
sadness,that sucks
neutral,should be going nfg tonight
sadness,"Sry but other day tweets were MIA - twitter network glitch, but story was re: funeral mix-up, as in wrong remains delivered to ea."
worry,i totally need to go to the doctor for my arm...this bitch is STILL hurtin like hell i shall return
happiness,see u Next Saturday With Mr
worry,Unanticipated thunderstorm quashed camping trip
love,Cause these stupid people dont have my phone and my tummy herts
neutral,"to indo dormir, good night"
fun,"THIS CALLS FOR A HIGH FIVE! (Don't miss, hotshot xD)"
worry,"Jus hit the casa, changing my swag cloth. Would it be the Pradas or the Dunks tonight??"
neutral,morning all eating my morningstar farms veggie bacon and a strawberry streudal. will be on later. work today.get dog tick juice. ugh
love,"It isn't easy! Be there for support, it is the best thing you can do is offer your love &amp; support! Lost both of mine early"
sadness,"actually, the web works fine. tweetdeck seems to be the culprit sadness! it's done this at two diff. locations"
worry,I wish I could spend my last weekend as a high school student in burbank with everyone and not fly off to dc
relief,This is going to be a great and productive week - I can just feel it!!! POSITIVE THINKING is the key
love,awesome. lemme see when you're done.
fun,Yeaup. I was gonna tell ya that
neutral,"How can i vote, it wont let me, says they closed the votes in her category i wanna vote"
sadness,"at the risk of sounding like a whiny child, I gotta say...I WANNA GO HOOOOOOOOOOOOMEEEEE!!! Ugh."
happiness,thank you
worry,Saturday will be the worst Saturday I've had in ages
love,love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong)
fun,When will you be saying &quot; hello there NEW ZEALAND &quot; haha
relief,"Just got done with my first day of work and is exsausted, sweaty, and chalky."
love,Really worth watching at the cinema. Mum really enjoyed it
worry,"just tried talking........voice died before end of sentence! Annpyimg thing id, i feel fine!! Another day of not playing the hits"
love,i want a zune but i looove my pod hahah
neutral,Traffic is down to a crawl on I-94 right now.
neutral,Good morning/afternoon/night to all.....studying as usual!
worry,omg wtf why is there a porn site following me?!
sadness,Feeling bad for profile pic
love,Ive got the greatest boyfriend in the world. I love him so so much.
worry,"Whoops! Start Trek,...not Start! Duh."
surprise,i had a new friend who called himself shame.
surprise,What?! He chose one of them? Nooo... Betty was supposed to get him in the end.
worry,New phone isn't syncing with my computer...I need numbers
happiness,Yay! Tell her I said congrats
neutral,"No, I'm working on it all day Monday. Will try to remember to email but if you're smart you'll remind me."
surprise,Tasmania devils and the mad cold... Not a bad start.
fun,waiting for JONAS to come on
neutral,wee. done with advance audit paper
worry,my days been aight! been cleaning mostly! went to mcds to check for hader toy..no luck so i ate chickfila
love,at BIF.... i love this buliding....
sadness,Im so tired and sick i have to be better on Sunday so i can sing morning and night
empty,hey are you there?Oyy i geas you sleep...
worry,"getting ready, waiting for cor, picking up josh, movies &amp; out to dinner - then trailer perhaps? baccck to work tomorrow"
neutral,Hot ramen soup to end a longgg munching night
worry,I can't join your game... it's a private beta
sadness,didn't have time this morning to go all the way across town to take a pic (SO SAD)
worry,&quot;with done&quot;?
worry,"On hold with unemployment, hoping to get call completed before I need to get daughter from school! Not looking good"
relief,finished watching the movie 'mirrors'. I liked it but it really didnt do anything for me 5 out of ten i give it // cool ...
neutral,#thingsmummysaid...rollercoasters are only multi-storey car parks without walls.
neutral,Someone make me a cofffeeeeeee......
love,On page 214 of 320 of Betrayed by P.C. Cast. really starting to enjoy this series
neutral,I think you are a follow-your-dreams-and-they-will-come-true person. That's why your my favourite YouTube star
fun,I understand Computers are fun again!
happiness,Yes sir...I just acquired a Master of Arts in Christian Ministry-a loooooong journey completed today...so thankful!
love,I love your tweets... Your sweet
fun,it's friday! trying to find something to do
happiness,- Got a new belt it's a sheriff star
sadness,"i'm relying on my mobile, which lacks reception. Trying to help, but just looking silly"
worry,I am tres depressed
neutral,"Oops - correction, it's Can't seem to spell worth a darn today..."
sadness,dreading work tomorrow wish I had one more day off
relief,Thanks
love,You're right....I'm 29 and I've heard the song a time or two
love,Ahh... I love Chinese music. Haha. Not gonna see my luff til Thursday...
relief,"- try thinking of something calm and peaceful, such as relaxing on the beach."
neutral,Happy Meal - B.O.B. toy
neutral,Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time
sadness,I hate not bringing my ipod to school
happiness,i need to write really bad. can someone go get my diary from my flat for me
worry,i feel like I'm on house arrest.
happiness,finally having my cup of coffee!!!
sadness,So now we'll pay more in sales tax...great. Even worse Mom and Pop businesses have to double what they pay in business licenses.
neutral,"Going to my brother's wedding in Princeton, NJ next Sat. Had to buy a navy blue sports coat and gray pants - $13 total at Goodwill"
love,Waah! You were in Aberdeen? F**K why do I miss all the best gigs?!
sadness,will have to wait on the recipe at Simply Recipes. Sorries!
surprise,"It Was The Best Evar &amp; My First,, You Didnt Awnser Any Of My Questions xoxo"
love,"awh Tom, thats really cute. i love you guys for that really, 'cause you care about fans x"
worry,3 shots of espresso aaaaand....nothin'.
happiness,Have a friend that calls me &quot;Mother Earth&quot; when ever he seems me. Nurturing is second nature to some. (me) Have God Babies.
fun,cool.. look forward for frequent tweets
sadness,THiNKiNG 0f HiM &lt;3
happiness,Has finally learned how to think before he speaks. And it works wonders
neutral,ewww exams next week . i dont think i can do it ahhhhhhhhhhhhhh
sadness,No one is at the tesla dealership
fun,"I don't know but they aren't worth it, only 6 people actually showed up lol"
surprise,So theres this boy. Hes so cute. Hes got a six pack. yum it was fun touchin it.
worry,me and my friend over here are disappointed we cant make it
love,I have not tweeted for SIXTEEN DAYS! I miss it =( I've been having fun though! =D Ingrid on mon was frakking awesome BBQ today!
boredom,I need something t do like hello... Im fucking bored now. um... yeh...
fun,My BFF rocking Hotel California now. No songs! done stay the same. What's next? Hmmm.. Careless whisper!
neutral,hey backz here. school again. its rly boring but yeah
neutral,Stress test: Good luck!
sadness,"Has so much to blog, but has no time to"
happiness,Yay! Just bought American Dad Volume 4 also seen Australia is out on DVD. Could be a lot cheaper than going...
sadness,at work and tired just want to go to bed
enthusiasm,Cover the tomm. event baby! Id like a live blogging on it
worry,"There's a 1,000 you's... there's only 1 of me..."
love,bass love
worry,it doesn't feel like a friday
fun,I'm doing an experiement
neutral,"you liked braid? Did you guess what the whole relationship story is a metaphor for? I sure as hell did not, it just confused me"
worry,Morning! Are u back in blighty Bill? Hope u had a lovely time away
neutral,Off to class
neutral,"Missed Britain's Got Talent tonight, but I heard who got through &amp; what happend. Gutted that Greg Pritchard didn't make it"
surprise,"OH WAIT, I read that wrong. OK hellboy"
neutral,PrinceCharming
happiness,"so its been forever since I've tweet, just wanted to say thaty I love bill! and I hope ya'll have an amazing week"
worry,working on my oral presentation and upset.........
worry,Going to revise for physics.
relief,"is bak in mcr....glad i can sleep in ma own bed 2nite yeyah...but i fink i,m missin popeye hopin 2 c him 2moz xxx"
love,"? ... thx for ur msg, so awesome! luv the new single! xoxo"
enthusiasm,"yeah i'm not shy doing everything that i can and still nothing check out my sale, no bites yet"
neutral,haha! and i just got an email that truth is now following me on Twitter A sign that I need to do away with the obscure mind games?
neutral,"I don't think I've ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow"
worry,Just got back from the grocery store. Now I'm starving and can't find anything to eat!
love,"Man on Wire every bit as amazing as the publicity and reviews suggest. Very, very strongly recommended (even for vertigo sufferers )"
surprise,"Like double posting on twitter? ;) lol. Not me, I don't take anything."
worry,who are the crew? please dont be me... i dont think it is but i could be wrong i have been a number of times...
neutral,if you were down the road from me you can bet i would be right there #MMOT
sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap Today is a new day"
happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
worry,"Google Adsense Income down by 6% in this months Payment, Indian Govt Happy for $ Falling, Publishers Sad"
empty,I want to be like Horatio Caine
boredom,is bored. my BFF doesn't want to hang out
happiness,thanks for the raspberry-Laced Vanilla Cake
love,"i dont, i'm not allowed to vote perants complain about the cost so dont let me vote. but i love his act its just so different"
happiness,yeeeeah . . . and it was in intro too seen Empire top 100 computer games?
love,too bad we can catch it here in brazil but good luck with your show! you're amazing!
worry,Busy.. Busy.. Busy.. :S Wont be on Ning for few days.
enthusiasm,Healthy Wishes. I may just start saying that.
happiness,"finally, holiday."
empty,"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee"
fun,"I would if I was drivin :\ hahaha. but get me a Carol C. Special, yeah?"
worry,awwh i heard from daniel that you were sick. feel better!
sadness,"Rove Live in 3 mins, kinda excited."
love,WOW Panic at the disco en Abbey Road
neutral,"noboby's behind. I think I lead with $14,8 so far"
neutral,"Storysize is 2 (and it's posted as a short story, not one liner), but doesn't show up in any news friends can see. Only in wall"
hate,"Oh no, garlic juice nooooooo thats disgusting...grrrr"
neutral,no not that expensive windows or linux
empty,Not much on for the weekend here. Off to Knox shortly &amp; definitely must get into the garden. It's a wee bit neglected.
worry,not funny
worry,I think I killed my 6-mo old bromeliad. need a new pet plant.. or not.
love,I love Broughty Ferry
worry,No trips planned yet but I'll let you know if there is
surprise,wondering what on earth is this new tools for
worry,STOMACH ACHE!!! Ahhhhhh
neutral,ready for a new week
relief,Now I KNOW my shares are up...have 7 followers...wonderful! The sun is now shining brightly in 'darkest Africa'...
neutral,yeeaaahh! even though i suck at twittering
worry,I am lost. Please help me find a good home.
hate,not a fan
neutral,soo like when this shows up on your wall....go to the right side of the post and a reply will show up TwEeT
relief,"haha it's ok. i really don't like getting to other businesses so its Ok,"
neutral,Lately i've been waking up with the sun in my face but not today..
sadness,"sorry Demi, just read post that you can attend BGT. Im sure your support for SB has helped tho a world without paps PLZZ"
worry,"if you want conversation, use email/mailing lists. I'm not convinced '140 chars and less' replies are conversation"
sadness,My Spanish = crap
worry,Reading and taking notes but undertanding none of it ... HELP!
surprise,Jamies Free Views Dead
neutral,getting ready for work
worry,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
worry,"I work at Schneider Electric, but not much longer. They are sending our jobs to Mexico"
love,totally worth it!! great movie cool 3D glasses! i miss ya! and i miss and i miss new york too
worry,Thanks you so much for following me on Twitter; I hope you find it as exciting as I do! Looking forward to your tweets!
worry,"Really Wish i could see dave from again, missing him already"
worry,"I'm doing good thanks And yourself? and sorry, lil busy at the moment."
neutral,18 hours to work....*cry* i can't survive! // Weeelcome to my wonderland *sing along*
neutral,you can turn the bird sounds off if you like in twitterena - check out settings from your home page
worry,Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.
worry,Twitter won't let me update online. My update box won't work.
worry,hi I'm ok still not feeling great
neutral,He's getting ear tubes in about an hour so no food
sadness,"alright. i REALLY wish you guys could've done a show in tennessee because now, i can't go to one of your shows :'("
sadness,we did what we had to do
neutral,talk with your HIPS
sadness,com'on dude always think that things can get worst
neutral,early phonograph industry? done.. just the rest of APM to revise and only berry the green rabbit and ribena man for company
sadness,"excited to see &quot;UP&quot; for Logan's Birthday in 2 weeks. Sad he wont have a party bc he doesn't know any kids, tho."
worry,gah. how am i supposed to study when all i do is sneeze and get even more tired.
neutral,Been i while since i've been on.... bogged under with exams! Eugh. At least theres only 2 left!! Britains Got Talent!!
neutral,I must be getting old and bent: that is the second thing you've said in the last couple of days that has not really been a turnon
neutral,i wish i can go to two different schools at the same time.
hate,"specially when you're already burneded. wore mums shoes as well, and now im all blistered. it sucks balls.."
neutral,Nursing sore back today
sadness,Arrived safely in San Fran. Disgraced to report that I tossed my cookies. Seems I no longer have the constitution for flying.
love,"Have a wonderful weekend at home! Good day today (it's Friday!), but no Otalia today (*tear*) Lots of love to you!"
neutral,"No, nothing so important. I just like it to look like that. It's an old hairstype actually"
happiness,YES!!! one final party better make it a good one !! how much mpre stuff you got to go?
sadness,aww I miss u too! Haven't ate
hate,frustrated by my stupid iPhone I need a blackberry!!!!
empty,because it is too hot i am sleeping with the window open. just means all the noise will make me up early
worry,Crazy debt issue. Maybe I had messed up when closing my old account? Not really sure but looks like I may have to cover it - aaargh...
surprise,"yvw hun ... I agree boy touts!! Freakin hate them with a vengeance! Good luck in sellin,sure someone will def snap up!!"
hate,Hairdye patch test has just smeared all over my WHITE duvet cover fucking cunts. &lt;3
neutral,but but it was funny when I wrote it
surprise,Join the biggest and bestest group on facebook
love,Happy mothers day everybody
surprise,watching the jobros live chat .. not live though haha.
worry,If my phone dies I will die too!
enthusiasm,hey dave im just up in the UK and first thing i done was put RR on could u play ill be there new kids on the block thanks
happiness,HAHA! Follow john mayer..he's a pretty funny guy I want to move to L.A .... it's so much more fun!
worry,Pretty sure I'm sat on the wrong train going the wrong way... Bah!
neutral,Hiya! How are you doing today?
surprise,"Nicky, I LAND at 10pm, it will be like 10:40 before I get home! UGH! Wont be any fish fry left for me anyways"
neutral,"Hi Isla! I hope it does, too."
happiness,Thanks hon!! Project Bra starts today!
worry,why r y depressed? i mite b moving earlyer than i thot
happiness,flashlight tag! i love playing games in the dark.
sadness,Hey twit! Just watched poor Holly on Britains Got Talent poor thing!! People are so mean - she only a 10 year old little girl!
happiness,Almost dun choreographing the dance
worry,I'm not! They frighten me to death............I just like to see all the boys in their leathers! ;) We go every year. Brilliant atmos!
worry,*sad face* project-m keeps crashing my itunes
neutral,Thanks New work will arrive in a few weeks
empty,let me out
neutral,Ug. Full of cold and in a dark pub. Want to go outside
neutral,Moodle Intro training this morning... ages since i've done that... and only 2 bookings
neutral,"Oui, I figured that since its a day off, I'd better start brushing up on my french; so far I have learnt Bonjour and Oui"
love,I love the smell of procrastination in the morning... oder so.
worry,&quot;Friends are the same soul different bodies.&quot; Plato
love,"Swanage tomorrow and going to stay in Bourton on the Water Thurs/Fri! Hoping for sun Arcades and tea and pretty things, here we come"
worry,My phone does not work in the DONS
love,ha ha thank you!
hate,"and the &quot;fuck &quot; was because I dont get my gift! I was SO exited about it, and it was sooo awesome..."
neutral,I'm clean
worry,That poor goose.
empty,doing nothing. wanna go out
neutral,"I almost said, &quot;and grammer no exist either&quot; grunt. But I stopped myself"
worry,thinking about new.. oh yes .. btw bankroll stays at $14.88.. so down a bit from yesterday.. and I won't whine about bad beats ..
neutral,castlebar doesnt have 3d so im going to galway to see the jb 3d movie but that could be next week or the one after that
worry,Friday is the new Thursday
worry,I think it goes against everything i thought the olympic spirit of Team GB is/was
sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy haha
sadness,Their songs make me want to cry..
love,Happy mothers day mom.. i love yew...
relief,"We people? I'm just an amateur Ark builder, no political affiliation. All are welcome"
worry,Woke up and felt a sharp pain in the back of my leg. No school for me today
worry,I couldn't do anythin cuz he jacked it when I stepped out for like 30 seconds &amp; was already outside up the mtn when I came back..
relief,cambs will be better im sure! eeeeeeeeee under a week now we meeting on the Sunday?
sadness,"I know, that is so sad. I"
empty,eh...I might drive through Chi-town on my way to Colorado....maybe I'll get one then.
